PeriodoInforme,RUT,RazonSocial,Planta,Punto de Descarga,Norma,Parametro,Tipo Muestra,Limite exigido,Unidad,Frecuencia exigida,RPM,Fecha emisión RPM
2024-04-01,   3189619-3,RIBBA,PISCICULTURA LONCOTRARO,PUNTO 1 ESTERO LONCOTRARO VILLARRICA,DS 90,Aceites y Grasas,COMPUESTO,20,mg/L,4.0,2955,2010-10-04
2024-04-01,   3189619-3,RIBBA,PISCICULTURA LONCOTRARO,PUNTO 1 ESTERO LONCOTRARO VILLARRICA,DS 90,Caudal,COMPUESTO,60480,m3/dia,30.0,2955,2010-10-04
2024-04-01,   3189619-3,RIBBA,PISCICULTURA LONCOTRARO,PUNTO 1 ESTERO LONCOTRARO VILLARRICA,DS 90,Coliformes Fecales o Termotolerantes,PUNTUAL,1000,NMP/100 ml,12.0,2955,2010-10-04
2024-04-01,   3189619-3,RIBBA,PISCICULTURA LONCOTRARO,PUNTO 1 ESTERO LONCOTRARO VILLARRICA,DS 90,DBO5,COMPUESTO,35,mgO2/L,4.0,2955,2010-10-04
2024-04-01,   3189619-3,RIBBA,PISCICULTURA LONCOTRARO,PUNTO 1 ESTERO LONCOTRARO VILLARRICA,DS 90,Fósforo,COMPUESTO,2,mg/L,4.0,2955,2010-10-04
2024-04-01,   3189619-3,RIBBA,PISCICULTURA LONCOTRARO,PUNTO 1 ESTERO LONCOTRARO VILLARRICA,DS 90,Nitrógeno Total ,COMPUESTO,10,mg/L,4.0,2955,2010-10-04
2024-04-01,   3189619-3,RIBBA,PISCICULTURA LONCOTRARO,PUNTO 1 ESTERO LONCOTRARO VILLARRICA,DS 90,pH,PUNTUAL,"6 - 8,5",Unidad,32.0,2955,2010-10-04
2024-04-01,   3189619-3,RIBBA,PISCICULTURA LONCOTRARO,PUNTO 1 ESTERO LONCOTRARO VILLARRICA,DS 90,SAAM,COMPUESTO,10,mg/L,4.0,2955,2010-10-04
2024-04-01,   3189619-3,RIBBA,PISCICULTURA LONCOTRARO,PUNTO 1 ESTERO LONCOTRARO VILLARRICA,DS 90,Sólidos Sedimentables,COMPUESTO,5,ml/L/h,4.0,2955,2010-10-04
2024-04-01,   3189619-3,RIBBA,PISCICULTURA LONCOTRARO,PUNTO 1 ESTERO LONCOTRARO VILLARRICA,DS 90,Sólidos Suspendidos Totales,COMPUESTO,80,mg/L,4.0,2955,2010-10-04
2024-04-01,   3189619-3,RIBBA,PISCICULTURA LONCOTRARO,PUNTO 1 ESTERO LONCOTRARO VILLARRICA,DS 90,Sulfato,COMPUESTO,1000,mg/L,4.0,2955,2010-10-04
2024-04-01,   3189619-3,RIBBA,PISCICULTURA LONCOTRARO,PUNTO 1 ESTERO LONCOTRARO VILLARRICA,DS 90,Temperatura,PUNTUAL,30,°C,32.0,2955,2010-10-04
2024-04-01,   3189619-3,RIBBA,PISCICULTURA LONCOTRARO,"PUNTO 2 ESTERO LOS CHILCOS, VILLARRICA",DS 90,Aceites y Grasas,COMPUESTO,20,mg/L,4.0,2955,2010-10-04
2024-04-01,   3189619-3,RIBBA,PISCICULTURA LONCOTRARO,"PUNTO 2 ESTERO LOS CHILCOS, VILLARRICA",DS 90,Caudal,COMPUESTO,43200,m3/dia,30.0,2955,2010-10-04
2024-04-01,   3189619-3,RIBBA,PISCICULTURA LONCOTRARO,"PUNTO 2 ESTERO LOS CHILCOS, VILLARRICA",DS 90,Coliformes Fecales o Termotolerantes,PUNTUAL,1000,NMP/100 ml,12.0,2955,2010-10-04
2024-04-01,   3189619-3,RIBBA,PISCICULTURA LONCOTRARO,"PUNTO 2 ESTERO LOS CHILCOS, VILLARRICA",DS 90,DBO5,COMPUESTO,35,mgO2/L,4.0,2955,2010-10-04
2024-04-01,   3189619-3,RIBBA,PISCICULTURA LONCOTRARO,"PUNTO 2 ESTERO LOS CHILCOS, VILLARRICA",DS 90,Fósforo,COMPUESTO,2,mg/L,4.0,2955,2010-10-04
2024-04-01,   3189619-3,RIBBA,PISCICULTURA LONCOTRARO,"PUNTO 2 ESTERO LOS CHILCOS, VILLARRICA",DS 90,Nitrógeno Total ,COMPUESTO,10,mg/L,4.0,2955,2010-10-04
2024-04-01,   3189619-3,RIBBA,PISCICULTURA LONCOTRARO,"PUNTO 2 ESTERO LOS CHILCOS, VILLARRICA",DS 90,pH,PUNTUAL,"6 - 8,5",Unidad,32.0,2955,2010-10-04
2024-04-01,   3189619-3,RIBBA,PISCICULTURA LONCOTRARO,"PUNTO 2 ESTERO LOS CHILCOS, VILLARRICA",DS 90,SAAM,COMPUESTO,10,mg/L,4.0,2955,2010-10-04
2024-04-01,   3189619-3,RIBBA,PISCICULTURA LONCOTRARO,"PUNTO 2 ESTERO LOS CHILCOS, VILLARRICA",DS 90,Sólidos Sedimentables,PUNTUAL,5,ml/L/h,4.0,2955,2010-10-04
2024-04-01,   3189619-3,RIBBA,PISCICULTURA LONCOTRARO,"PUNTO 2 ESTERO LOS CHILCOS, VILLARRICA",DS 90,Sólidos Suspendidos Totales,COMPUESTO,80,mg/L,4.0,2955,2010-10-04
2024-04-01,   3189619-3,RIBBA,PISCICULTURA LONCOTRARO,"PUNTO 2 ESTERO LOS CHILCOS, VILLARRICA",DS 90,Sulfato,COMPUESTO,1000,mg/L,4.0,2955,2010-10-04
2024-04-01,   3189619-3,RIBBA,PISCICULTURA LONCOTRARO,"PUNTO 2 ESTERO LOS CHILCOS, VILLARRICA",DS 90,Temperatura,PUNTUAL,30,°C,32.0,2955,2010-10-04
2024-04-01,   3570799-9,HENRIQUEZ,PISCICULTURA PEÑIHUEN,PUNTO 1,,,COMPUESTO,,,,,
2024-04-01,   3611018-k,NAJLE,PLANTA FAENADORA DE CARNES HN SAN CARLOS,PUNTO 1 ESTERO MARGARITA,DS 90,Aceites y Grasas,COMPUESTO,20,mg/L,1.0,3267,2009-09-04
