id,PeriodoInforme,RUT,RazonSocial,Planta,PuntoDeDescarga,CuerpoReceptor,Norma,Muestra,Parametro,Unidad,ValorReportado,TipoDeControl,Laboratorio,UnidadFiscalizable,departamento,ComunaId,comuna,NombreCategoria,NombreSubCategoria,Direccion,NumeroRCA,FechaRCA
1,01-01-2024, 61704000-K,CORP NACIONAL DEL COBRE DE CHILE,REFINERIA VENTANAS,C.DVENTANAS,BAHÍA QUINTERO,DS 90,162763,Aceites y Grasas,mg/L,140.0,Autocontrol,"5M S.A., Laboratorio de Analisis",FUNDICION Y REFINERIA VENTANAS,Región de Valparaíso,1080,Puchuncaví,Instalación fabril,Fundición,"F-30-E 58270, Puchuncaví",161,2013-08-13
2,01-01-2024, 61704000-K,CORP NACIONAL DEL COBRE DE CHILE,REFINERIA VENTANAS,C.DVENTANAS,BAHÍA QUINTERO,DS 90,162763,Aluminio,mg/L,58.0,Autocontrol,"5M S.A., Laboratorio de Analisis",FUNDICION Y REFINERIA VENTANAS,Región de Valparaíso,1080,Puchuncaví,Instalación fabril,Fundición,"F-30-E 58270, Puchuncaví",161,2013-08-13
3,01-01-2024, 61704000-K,CORP NACIONAL DEL COBRE DE CHILE,REFINERIA VENTANAS,C.DVENTANAS,BAHÍA QUINTERO,DS 90,162763,Arsénico,mg/L,66.0,Autocontrol,"5M S.A., Laboratorio de Analisis",FUNDICION Y REFINERIA VENTANAS,Región de Valparaíso,1080,Puchuncaví,Instalación fabril,Fundición,"F-30-E 58270, Puchuncaví",161,2013-08-13
4,01-01-2024, 61704000-K,CORP NACIONAL DEL COBRE DE CHILE,REFINERIA VENTANAS,C.DVENTANAS,BAHÍA QUINTERO,DS 90,162763,Cadmio,mg/L,2.0,Autocontrol,"5M S.A., Laboratorio de Analisis",FUNDICION Y REFINERIA VENTANAS,Región de Valparaíso,1080,Puchuncaví,Instalación fabril,Fundición,"F-30-E 58270, Puchuncaví",161,2013-08-13
5,01-01-2024, 61704000-K,CORP NACIONAL DEL COBRE DE CHILE,REFINERIA VENTANAS,C.DVENTANAS,BAHÍA QUINTERO,DS 90,162763,Cianuro,mg/L,1.0,Autocontrol,"5M S.A., Laboratorio de Analisis",FUNDICION Y REFINERIA VENTANAS,Región de Valparaíso,1080,Puchuncaví,Instalación fabril,Fundición,"F-30-E 58270, Puchuncaví",161,2013-08-13
6,01-01-2024, 61704000-K,CORP NACIONAL DEL COBRE DE CHILE,REFINERIA VENTANAS,C.DVENTANAS,BAHÍA QUINTERO,DS 90,162763,Cobre ,mg/L,28.0,Autocontrol,"5M S.A., Laboratorio de Analisis",FUNDICION Y REFINERIA VENTANAS,Región de Valparaíso,1080,Puchuncaví,Instalación fabril,Fundición,"F-30-E 58270, Puchuncaví",161,2013-08-13
7,01-01-2024, 61704000-K,CORP NACIONAL DEL COBRE DE CHILE,REFINERIA VENTANAS,C.DVENTANAS,BAHÍA QUINTERO,DS 90,5876937,Coliformes Fecales o Termotolerantes,NMP/100 ml,20.0,Autocontrol,"5M S.A., Laboratorio de Analisis",FUNDICION Y REFINERIA VENTANAS,Región de Valparaíso,1080,Puchuncaví,Instalación fabril,Fundición,"F-30-E 58270, Puchuncaví",161,2013-08-13
8,01-01-2024, 61704000-K,CORP NACIONAL DEL COBRE DE CHILE,REFINERIA VENTANAS,C.DVENTANAS,BAHÍA QUINTERO,DS 90,162763,Cromo Total,mg/L,1.0,Autocontrol,"5M S.A., Laboratorio de Analisis",FUNDICION Y REFINERIA VENTANAS,Región de Valparaíso,1080,Puchuncaví,Instalación fabril,Fundición,"F-30-E 58270, Puchuncaví",161,2013-08-13
9,01-01-2024, 61704000-K,CORP NACIONAL DEL COBRE DE CHILE,REFINERIA VENTANAS,C.DVENTANAS,BAHÍA QUINTERO,DS 90,162763,DBO5,mgO2/L,20.0,Autocontrol,"5M S.A., Laboratorio de Analisis",FUNDICION Y REFINERIA VENTANAS,Región de Valparaíso,1080,Puchuncaví,Instalación fabril,Fundición,"F-30-E 58270, Puchuncaví",161,2013-08-13
10,01-01-2024, 61704000-K,CORP NACIONAL DEL COBRE DE CHILE,REFINERIA VENTANAS,C.DVENTANAS,BAHÍA QUINTERO,DS 90,162763,Estaño,mg/L,4.0,Autocontrol,"5M S.A., Laboratorio de Analisis",FUNDICION Y REFINERIA VENTANAS,Región de Valparaíso,1080,Puchuncaví,Instalación fabril,Fundición,"F-30-E 58270, Puchuncaví",161,2013-08-13
